Code,Release
am_ET,amharic/itml/v0.1.0
bn_IN,bengali/twb/v0.1.0
br_FR,breton/itml/v0.1.1
ca_ES,catalan/ccoreilly/v0.14.0
cnh_MM,hakha-chin/itml/v0.1.1
cs_CZ,czech/comodoro/v0.2.0
cv_RU,chuvash/itml/v0.1.1
cy_GB,welsh/techiaith/v21.03
de_DE,german/AASHISHAG/v0.9.0
dv_MV,dhivehi/itml/v0.1.1
el_GR,greek/itml/v0.1.1
en_US,english/coqui/v1.0.0-large-vocab
et_EE,estonian/itml/v0.1.1
eu_ES,basque/itml/v0.1.1
fi_FI,finnish/itml/v0.1.1
fr_FR,french/commonvoice-fr/v0.6
fy_NL,frisian/itml/v0.1.1
ga_IE,irish/itml/v0.1.1
hu_HU,hungarian/itml/v0.1.1
id_ID,indonesian/itml/v0.1.1
it_IT,italian/mozillaitalia/2020.8.7
ka_GE,georgian/itml/v0.1.1
ky_KG,kyrgyz/itml/v0.1.1
lg_UG,luganda/itml/v0.1.1
lt_LT,lithuanian/itml/v0.1.1
lv_LV,latvian/itml/v0.1.1
mn_MN,mongolian/itml/v0.1.1
mt_MT,maltese/itml/v0.1.1
nl_NL,dutch/acabunoc/v0.0.1
or_IN,odia/itml/v0.1.1
pt_PT,portuguese/itml/v0.1.1
rm_CH,romansh-sursilvan/itml/v0.1.0
ro_RO,romanian/itml/v0.1.1
ru_RU,russian/jemeyer/v0.1.0
rw_RW,kinyarwanda/digital-umuganda/v0.0.1
sah_RU,sakha/itml/v0.1.1
sb_DE,upper-sorbian/itml/v0.1.0
sl_SI,slovenian/itml/v0.1.1
sw_KE,swahili-congo/twb/v0.3.0
ta_IN,tamil/itml/v0.1.0
th_TH,thai/itml/v0.1.0
tr_TR,turkish/itml/v0.1.0
tt_RU,tatar/itml/v0.1.0
uk_UK,ukrainian/robinhad/v0.4
wo_SN,wolof/itml/v0.1.0
yo_NG,yoruba/itml/v0.1.0
